quadro,x_cm,y_cm
234,24.0,23.76
235,23.25,24.33
236,5.2,6.24
237,36.88,24.84
238,16.83,29.45
239,24.0,36.45
240,9.72,9.72
241,38.65,14.33
242,35.23,2.71
243,9.34,36.66
244,10.36,5.3
245,4.24,4.2
246,24.0,34.37
247,7.88,37.09
248,26.36,0.49
249,3.29,39.55
250,24.0,23.9
251,8.04,14.24
255,5.6,33.19
256,20.63,27.79
257,17.92,33.39
258,13.85,24.6
259,34.5,17.58
265,34.85,27.42
266,7.35,25.41
267,41.18,18.91
268,16.51,0.71
269,34.07,23.8
270,43.82,12.84
271,19.25,25.09
272,22.69,26.14
273,20.31,26.96
274,25.23,28.11
275,22.53,29.66
276,29.88,30.89
277,14.08,26.23
278,24.0,31.1
279,15.41,27.89
280,46.36,10.71
281,41.56,5.83
282,8.65,2.54
283,16.58,25.92
284,29.46,6.06
285,35.11,34.85
286,43.56,11.79
287,21.79,26.46
288,33.48,29.68
289,35.27,9.55
290,42.73,37.23
291,9.42,25.87
292,32.25,37.17
296,20.46,24.45
297,11.06,9.44
298,11.85,25.71
299,20.29,23.85
300,24.0,29.14
301,27.63,34.32
302,6.81,10.49
303,23.44,31.0
304,27.55,7.36
305,4.24,13.44
306,3.97,25.35
307,16.46,26.49
308,45.6,9.27
309,7.73,33.37
310,24.0,29.65
311,17.33,25.1
314,11.26,8.15
315,42.71,32.98
316,4.44,6.67
317,35.9,30.65
318,18.02,27.46
319,43.22,38.57
320,9.34,24.61
321,1.82,2.94
322,10.41,4.87
323,29.98,27.63
324,16.37,34.77
325,19.76,35.19
326,7.61,19.37
327,10.63,33.5
328,1.44,5.65
331,19.25,27.47
332,33.68,24.16
333,13.22,37.7
334,24.0,23.97
335,38.98,2.43
336,8.23,2.45
337,8.95,30.25
338,12.58,8.32
339,23.18,27.66
340,42.66,14.64
341,4.07,27.91
342,43.38,8.09
343,24.0,27.87
347,23.98,6.44
348,12.81,23.87
349,3.78,34.9
350,14.12,30.44
351,43.75,7.88
352,11.98,15.7
353,17.76,26.98
354,9.83,13.57
355,23.41,2.43
356,12.01,20.01
357,22.0,27.87
358,21.76,22.24
359,10.91,1.38
360,7.07,13.73
361,32.26,5.9
362,24.0,33.71
363,19.1,12.0
364,3.45,22.96
365,20.56,36.57
366,12.82,30.7
367,24.0,32.22
368,21.6,29.46
371,18.3,27.04
377,24.0,32.05
378,4.67,16.53
379,20.9,27.79
380,45.43,12.7
381,24.0,38.48
382,5.6,29.17
383,10.99,8.15
384,10.91,4.44
385,23.39,29.57
386,20.94,25.67
387,18.59,17.86
388,19.1,27.16
389,18.87,26.74
392,2.13,16.65
393,8.14,37.98
394,34.88,21.45
395,11.08,6.77
396,2.54,8.74
397,16.21,24.9
398,14.31,29.89
399,24.0,35.99
400,5.73,9.29
401,42.78,35.75
402,33.82,30.69
403,7.59,5.86
404,26.94,28.75
405,16.15,38.47
406,18.63,29.98
407,20.64,23.66
408,4.75,5.04
409,14.7,35.85
410,6.05,38.37
414,2.25,4.46
415,20.87,21.44
416,12.16,6.21
417,6.06,31.92
418,35.97,35.87
419,12.25,34.65
420,4.13,16.2
421,15.65,26.46
422,16.85,24.81
423,46.27,10.06
424,4.32,25.78
425,17.17,23.21
426,21.73,33.95
427,3.9,15.74
428,21.4,23.38
429,18.58,21.87
430,21.29,23.87
431,17.88,35.49
432,39.94,16.58
433,18.29,37.36
434,16.97,24.79
435,2.84,2.47
436,22.89,30.54
437,23.29,7.89
438,6.47,32.92
439,14.15,34.8
440,10.35,9.68
441,45.64,12.22
442,20.5,24.23
443,12.69,12.41
444,3.83,2.82
445,24.0,31.13
446,21.83,21.72
447,16.41,31.92
448,24.0,27.05
449,2.46,10.33
450,33.59,33.94
451,37.14,27.95
454,11.3,34.96
455,26.15,11.01
456,23.03,24.14
457,22.62,38.18
458,22.67,24.47
459,22.04,23.9
460,21.48,25.43
461,14.41,27.29
462,15.47,18.37
463,6.33,2.55
464,5.4,24.4
465,22.69,18.42
466,19.31,31.79
467,23.43,25.42
468,26.21,16.37
469,12.62,37.52
470,41.5,0.66
471,18.82,24.88
474,34.75,14.75
475,26.6,11.35
476,12.37,33.36
480,3.58,27.85
481,9.46,4.61
482,8.93,18.03
483,11.01,32.21
484,29.29,30.87
485,30.95,22.27
486,22.96,38.52
487,7.99,5.2
491,20.31,36.0
492,34.77,12.67
493,17.44,27.42
494,13.52,6.02
495,8.36,12.53
496,14.76,23.57
497,20.87,25.65
498,9.47,26.07
499,45.46,32.56
500,44.41,10.19
501,10.28,9.53
502,18.51,36.47
503,23.55,20.09
504,16.03,24.71
505,45.44,19.31
506,17.28,36.25
507,28.2,12.02
508,5.37,8.69
509,11.48,31.16
510,11.34,16.84
511,27.75,18.1
512,17.3,27.16
515,24.0,35.67
516,6.2,11.87
517,11.37,30.44
518,8.4,9.53
519,19.38,25.49
520,11.02,37.32
521,39.36,14.99
522,36.36,14.67
523,34.31,37.31
524,23.9,39.2
525,14.67,36.75
526,19.56,35.49
527,22.7,32.16
528,11.93,10.79
529,4.4,28.89
530,36.69,2.84
531,6.65,8.61
532,20.69,25.17
533,16.54,25.08
534,36.1,33.12
535,42.81,33.36
536,29.4,25.98
537,9.33,26.59
538,26.25,26.89
539,13.23,24.93
540,16.48,27.18
544,11.71,25.85
545,15.89,24.09
546,41.66,35.74
547,24.0,36.28
548,39.35,5.57
549,7.21,24.71
550,30.54,32.76
551,11.32,16.61
552,25.9,35.07
553,41.85,28.96
554,15.8,17.66
555,37.93,11.17
556,7.74,8.67
557,5.37,0.83
558,20.65,25.56
559,9.04,23.73
560,22.32,24.09
561,46.49,16.02
562,42.87,11.14
563,42.53,32.66
564,3.41,17.45
565,16.68,24.42
566,10.04,19.93
567,0.61,3.51
568,1.81,8.11
569,38.99,14.82
570,18.96,24.17
571,29.12,35.04
572,7.13,28.55
573,16.38,25.15
574,4.55,8.65
575,23.04,25.07
576,43.45,6.47
584,40.37,10.97
585,47.9,13.32
586,38.23,33.34
587,16.67,25.1
588,4.74,31.78
589,9.95,37.46
590,24.0,28.28
591,31.97,20.94
592,21.78,27.61
593,6.34,24.46
594,20.13,26.34
595,18.99,15.75
596,4.01,7.71
597,21.25,36.07
598,17.18,31.73
599,13.28,6.49
600,38.2,20.01
604,37.65,36.97
605,29.09,17.83
606,45.65,20.14
607,23.24,34.32
608,9.52,28.82
609,18.04,23.94
613,30.16,5.4
614,7.26,36.81
615,24.0,35.61
616,13.56,10.72
617,18.58,10.2
618,21.93,23.37
619,2.66,37.03
620,21.45,25.71
621,5.73,5.1
622,31.91,1.02
623,11.68,29.7
624,36.89,35.45
625,24.0,31.03
626,32.49,12.14
627,31.43,23.73
628,24.0,24.47
629,1.5,10.36
630,3.81,31.47
631,23.51,19.08
637,11.7,7.74
641,20.02,25.86
642,8.45,23.5
643,18.62,19.83
644,29.83,32.24
645,34.63,7.29
646,26.21,8.9
647,31.71,34.04
648,21.46,34.34
649,34.24,14.04
650,27.21,33.08
651,38.67,0.86
652,3.74,35.98
653,24.0,37.71
654,7.21,36.77
655,15.63,27.75
658,44.3,34.98
659,29.11,39.85
660,21.09,26.41
664,1.94,21.72
665,18.98,27.99
666,44.73,2.67
667,1.88,5.18
668,19.36,20.19
669,3.3,7.92
670,4.13,25.28
671,12.81,35.97
675,17.94,23.57
676,36.96,5.46
677,16.63,25.7
678,15.97,27.59
679,32.13,16.2
680,42.4,25.71
681,43.55,16.28
682,9.96,36.13
683,10.93,33.8
684,11.72,25.79
685,43.81,17.71
686,15.94,23.55
687,18.65,28.28
688,13.07,26.56
689,17.95,27.45
690,5.01,13.09
691,39.57,25.55
692,24.0,28.69
693,19.56,26.79
694,16.55,28.59
695,43.93,6.45
696,29.08,26.08
697,33.22,7.87
698,19.75,25.51
699,21.89,27.08
700,12.3,7.51
701,9.95,30.48
702,8.38,28.6
703,16.23,35.86
704,28.47,16.28
705,25.98,27.61
709,11.62,4.03
710,39.93,2.65
711,31.59,7.16
712,20.44,17.87
713,4.3,35.46
714,20.82,13.73
715,36.13,15.31
716,25.8,7.82
717,14.7,33.45
718,18.79,26.13
719,7.66,34.3
720,39.51,11.17
721,17.36,30.15
722,24.0,37.28
723,24.0,27.76
724,15.45,23.39
725,5.88,6.11
726,23.59,35.93
727,35.36,28.18
728,19.18,27.78
729,8.19,36.41
730,12.29,37.28
731,9.51,16.99
732,43.9,7.45
733,24.28,13.54
734,7.47,13.26
735,12.94,27.75
736,9.16,38.02
737,32.15,26.27
738,10.36,38.27
741,22.8,19.51
742,24.0,34.61
743,33.63,34.55
744,40.0,19.33
745,47.03,10.42
746,12.23,5.63
747,1.71,18.39
748,6.07,18.34
749,17.63,21.12
750,19.88,33.45
751,31.45,38.34
754,5.23,24.14
755,26.31,10.83
756,20.76,38.45
757,14.21,0.73
758,10.41,18.09
759,20.45,3.94
760,9.41,9.77
761,17.68,31.07
762,11.16,3.08
763,35.37,10.23
764,33.84,35.58
765,26.6,34.78
766,23.31,25.92
767,46.1,36.64
768,7.94,34.57
769,16.72,18.77
770,4.8,10.4
771,11.2,16.99
772,6.34,8.46
773,36.15,12.94
774,3.73,33.75
775,9.81,25.08
776,17.04,24.18
777,17.21,25.79
778,35.64,24.7
779,32.95,29.26
780,19.02,16.97
781,11.38,31.2
782,14.49,23.69
783,16.46,38.14
784,3.9,17.36
785,27.59,26.0
786,24.0,33.25
787,21.22,27.35
788,22.98,16.71
789,15.5,24.96
790,20.3,17.12
791,16.05,35.52
792,22.86,26.88
793,8.68,12.17
794,2.64,4.56
795,7.49,26.62
796,19.09,23.26
797,42.5,32.91
798,37.5,37.7
799,31.55,30.89
800,20.82,24.48
801,10.16,35.52
802,1.61,23.93
803,34.94,23.88
804,5.34,22.04
805,7.49,16.79
806,16.37,16.73
807,11.1,25.47
808,7.39,25.76
809,10.79,12.86
810,44.46,13.02
811,22.45,20.43
812,16.09,24.78
813,10.44,17.17
814,22.9,26.5
815,16.76,25.48
816,27.22,7.32
817,13.34,11.59
818,12.23,23.97
819,24.44,2.04
820,17.0,25.34
821,11.53,25.18
822,16.16,23.83
823,13.57,29.0
824,17.75,27.59
825,18.83,25.9
826,24.0,35.88
827,19.61,26.96
828,4.22,32.16
829,0.58,27.8
830,6.53,25.27
831,1.71,9.84
832,37.53,37.87
833,10.84,32.68
834,4.26,31.06
835,13.59,8.66
836,12.35,18.48
837,4.19,23.72
838,10.99,18.04
839,8.05,15.5
840,4.2,25.92
841,8.82,7.03
842,31.26,33.64
843,24.0,34.55
844,46.24,15.15
845,21.16,24.77
846,12.1,36.41
847,33.24,24.74
848,12.59,39.93
849,4.96,37.58
850,10.21,5.3
851,4.34,37.18
852,34.83,13.24
853,13.36,4.0
854,22.86,31.43
855,13.42,36.17
856,18.7,27.5
857,9.35,7.21
858,35.61,35.02
859,36.61,37.24
860,17.44,26.88
861,9.53,9.86
862,11.13,28.87
863,11.95,24.48
864,36.96,13.02
865,29.54,26.83
866,4.87,6.48
867,17.78,9.97
868,36.07,30.56
869,7.91,16.34
870,17.05,24.91
871,13.42,28.19
872,15.87,22.86
873,6.21,4.06
874,11.44,20.3
875,20.66,38.19
876,9.81,38.43
877,26.02,23.95
878,44.95,25.5
879,14.41,29.46
880,41.69,16.18
881,40.19,32.27
882,12.86,17.42
883,3.88,31.8
884,16.38,26.78
885,12.79,27.69
886,15.59,23.81
887,39.22,10.24
888,14.49,24.55
889,17.32,24.36
890,22.78,30.46
891,19.22,26.63
892,11.82,9.37
893,14.83,26.84
894,8.67,28.6
895,8.02,10.64
896,36.88,36.76
897,9.06,6.7
898,25.31,37.02
902,20.78,35.94
903,21.58,26.47
904,36.61,7.13
905,16.88,31.96
906,37.1,31.69
907,19.41,15.53
908,17.4,24.53
909,7.49,30.09
910,7.2,23.6
911,9.56,2.64
912,38.88,36.11
913,19.88,26.45
914,6.16,24.5
915,4.69,7.0
916,16.07,32.46
917,24.0,34.9
918,24.0,28.96
919,3.67,1.24
920,12.38,28.76
921,30.68,9.65
922,12.43,37.42
923,10.73,5.02
924,33.68,30.84
925,7.54,30.12
926,24.0,37.84
927,39.05,20.42
928,41.47,24.19
932,24.0,36.09
933,15.46,31.69
936,25.01,37.13
940,5.95,16.1
941,3.48,36.43
942,24.0,34.11
943,5.07,34.4
944,11.01,36.56
945,16.94,18.25
946,13.06,9.23
947,20.75,26.4
948,30.87,8.51
949,24.0,26.45
950,14.66,27.14
951,36.76,27.55
952,28.68,32.76
953,5.24,8.05
954,16.43,24.32
955,2.11,26.11
956,6.21,23.83
957,12.36,6.91
958,21.66,27.49
959,19.73,16.79
960,2.15,5.28
961,27.17,34.09
962,4.45,16.33
966,5.91,2.51
967,21.21,25.76
968,15.29,38.53
969,16.38,30.03
976,16.31,36.36
977,32.76,33.48
978,12.58,18.09
979,23.82,6.83
980,7.57,7.94
981,20.28,25.7
982,33.23,33.04
983,17.86,18.22
984,2.97,15.76
985,21.76,23.54
986,41.57,27.69
987,16.91,27.12
988,5.04,30.4
989,16.6,25.03
990,20.46,16.54
991,24.0,35.68
992,41.38,17.56
993,16.22,27.31
994,23.45,33.59
995,24.0,25.19
996,39.11,37.08
997,9.67,20.65
998,39.3,14.35
999,23.52,37.35
1003,1.63,9.4
1004,16.36,7.36
1005,10.84,8.35
1006,12.82,25.46
1007,42.28,10.11
1008,24.0,30.31
1009,9.26,31.59
1010,18.6,29.98
1011,17.53,29.69
1012,5.18,4.25
1013,24.0,31.25
1014,44.65,37.75
1015,33.78,35.78
1018,6.01,3.81
1019,38.6,30.03
1020,34.22,14.25
1021,22.38,25.49
1024,9.36,13.96
1025,14.57,30.28
1026,24.0,31.48
1027,4.28,21.7
1028,45.33,3.07
1029,33.45,12.82
1030,19.8,26.33
1031,21.91,22.97
1032,24.86,6.0
1033,39.39,3.88
1034,20.06,26.68
1035,17.38,23.39
1036,9.57,37.04
1037,41.79,14.29
1038,11.66,17.09
1039,37.54,28.41
1040,10.57,17.89
1041,24.0,29.57
1045,4.26,12.38
1046,12.16,9.34
1049,20.3,20.23
1050,12.46,24.06
1051,13.51,24.41
1052,26.07,0.06
1053,44.16,13.17
1057,18.46,24.13
1058,40.24,23.91
1059,4.24,4.26
1060,17.08,25.83
1061,10.79,11.58
1062,11.45,38.01
1063,24.0,33.07
1064,18.52,37.16
1065,17.75,28.69
1066,39.99,3.19
1067,39.74,15.22
1068,45.74,6.72
1069,11.5,28.65
1072,23.41,25.84
1073,40.43,5.56
1074,35.29,25.29
1075,23.13,20.58
1076,24.0,28.01
1077,41.36,11.96
1078,32.98,35.51
1079,8.62,8.14
1080,24.0,26.51
1081,16.3,16.45
1082,17.34,24.98
1083,7.47,4.09
1084,5.13,18.46
1085,9.12,7.48
1086,11.06,7.98
1087,8.05,6.27
1088,4.34,8.74
1089,41.65,38.04
1092,22.85,25.38
1093,10.25,28.21
1096,11.27,34.87
1097,20.08,27.37
1098,13.45,9.08
1099,15.7,25.82
1100,9.18,10.94
1101,26.61,39.66
1102,11.72,17.22
1103,4.9,6.46
1104,21.08,0.67
1105,5.53,34.41
1106,8.87,35.39
1107,21.85,24.79
1108,22.55,28.92
1109,14.78,30.58
1110,22.11,34.8
1111,47.3,20.68
1115,21.35,26.6
1116,16.93,24.91
1117,24.0,33.85
1118,7.95,16.65
1119,31.82,6.34
1120,5.95,37.87
1124,0.08,13.81
1125,9.71,17.76
1126,1.62,1.06
1127,6.59,12.38
1128,46.57,13.39
1129,3.41,3.24
1130,17.01,37.79
1131,22.94,25.54
1132,10.92,6.89
1133,4.22,8.89
1134,24.0,33.06
1135,22.75,25.26
1136,17.82,38.23
1137,33.1,12.8
1138,24.0,27.69
1139,21.48,22.89
1140,8.37,12.86
1141,22.16,24.87
1142,11.6,5.29
1143,8.94,35.51
1144,14.45,24.23
1145,40.21,26.26
1146,18.8,34.43
1147,21.89,26.68
1148,23.69,23.85
1149,22.63,31.78
1150,0.36,39.7
1151,6.88,4.07
1152,13.43,38.19
1153,13.69,33.12
1154,16.66,38.19
1155,23.23,34.72
1156,18.09,36.59
1157,6.36,17.33
1158,27.19,25.9
1159,17.09,27.59
1160,12.72,34.17
1161,34.18,9.56
1162,9.02,36.03
1163,16.18,29.43
1164,23.25,29.03
1165,40.94,35.06
1166,16.18,23.8
1167,11.53,9.2
1168,22.99,31.39
1169,13.31,17.35
1170,40.62,6.0
1171,3.43,27.43
1172,37.33,15.92
1173,8.26,29.0
1174,10.33,1.2
1175,22.28,26.32
1176,20.94,23.92
1177,43.3,22.63
1178,40.45,16.32
1179,42.9,31.96
1180,4.82,13.05
1181,24.0,36.15
1182,11.17,16.91
1183,24.0,32.68
1184,40.63,20.94
1185,16.47,27.01
1186,24.0,34.78
1187,28.81,28.28
1188,8.15,8.25
1189,44.74,14.43
1190,10.07,20.41
1191,4.01,2.99
1192,8.34,14.98
1193,42.32,36.64
1197,22.55,24.16
1198,7.48,12.25
1199,9.63,15.18
1200,18.37,22.83
1201,37.73,30.72
1202,21.54,26.42
1203,13.74,26.28
1204,41.07,3.15
1205,17.96,17.91
1206,47.7,9.38
1207,24.0,27.99
1208,11.13,15.09
1209,40.07,28.96
1210,23.57,26.74
1211,30.89,33.56
1212,24.0,36.1
1213,16.36,39.03
1214,42.27,37.86
1215,19.69,37.29
1216,16.19,29.67
1220,12.7,6.96
1221,24.0,29.15
1222,3.43,35.36
1223,28.36,28.88
1224,1.68,5.59
1225,5.88,32.89
1226,43.24,25.98
1227,13.76,36.52
1228,13.01,14.48
1229,19.44,25.2
1230,34.09,28.32
1231,21.93,30.06
1232,23.56,25.69
1233,11.44,14.94
1234,24.0,24.71
1235,5.68,28.95
1236,9.01,16.26
1237,39.69,36.41
1238,17.21,31.02
1239,34.24,10.51
1240,10.72,29.61
1241,36.86,27.42
1242,7.58,30.88
1243,4.1,18.23
1244,10.56,12.33
1245,11.09,16.18
1246,8.24,3.06
1247,45.71,12.12
1248,9.09,26.14
1249,21.98,3.84
1250,46.22,19.53
1254,18.92,27.15
1255,21.39,27.63
1256,38.21,22.84
1257,24.0,27.73
1258,18.68,39.66
1259,19.96,25.01
1262,34.24,5.66
1263,34.6,29.05
1264,21.0,29.42
1265,10.15,25.1
1266,9.03,33.15
1267,16.65,24.64
1268,16.95,24.75
1269,12.1,5.46
1270,21.87,27.02
1271,10.49,6.32
1272,23.17,23.37
1273,44.6,15.15
1274,23.45,19.58
1275,16.1,38.43
1276,10.14,27.59
1277,33.49,26.74
1278,17.7,26.92
1279,12.54,27.28
1280,18.08,23.27
1281,4.45,34.78
1282,25.02,29.97
1283,10.02,31.13
1284,5.4,18.11
1285,9.39,29.19
1286,15.75,25.95
1287,17.34,32.27
1288,11.13,26.29
1289,15.62,4.14
1290,22.85,31.11
1291,16.57,10.62
1292,8.2,6.67
1293,23.52,26.7
1294,13.23,25.13
1295,5.6,37.09
1296,21.46,23.32
1302,7.29,35.34
1303,18.14,25.44
1304,21.18,25.82
1305,17.13,23.16
1306,36.69,12.38
1307,40.52,39.18
1308,15.76,20.9
1309,13.0,35.05
1310,4.14,13.55
1311,6.2,6.03
1312,14.67,33.7
1313,3.32,7.1
1314,34.68,26.28
1315,11.46,24.16
1316,39.71,37.25
1317,10.54,35.79
1318,15.35,26.71
1319,39.3,8.02
1320,2.14,16.14
1321,24.0,37.33
1322,24.0,30.04
1323,8.86,38.24
1324,22.05,34.72
1325,10.61,25.17
1326,30.22,37.48
1327,29.49,33.61
1328,12.59,16.81
1332,31.73,23.68
1333,22.02,26.87
1334,10.0,3.51
1335,17.7,32.03
1336,5.0,16.18
1337,12.39,4.59
1338,21.51,20.01
1339,24.36,39.58
1340,13.62,27.52
1341,3.31,17.0
1342,4.81,10.8
1343,15.47,26.89
1344,18.71,22.07
1345,39.23,33.97
1348,6.99,29.34
1349,36.8,35.21
1350,4.02,6.63
1351,21.53,24.42
1352,37.09,7.63
1353,16.37,25.6
1354,24.0,38.16
1355,5.48,12.04
1356,16.94,31.04
1357,10.62,30.97
1358,11.97,30.06
1359,30.73,1.43
1360,29.92,0.97
1361,6.21,28.93
1362,10.89,2.4
1363,14.2,32.58
1366,33.22,4.57
1370,17.12,34.95
1374,13.32,18.3
1375,8.52,37.14
1376,10.01,33.98
1377,10.63,18.42
1378,35.11,25.88
1379,4.6,3.81
1387,40.41,30.31
1388,41.47,36.97
1389,20.22,35.1
1390,24.0,32.85
1391,4.33,21.77
1392,21.51,5.48
1393,46.76,31.29
1394,24.0,36.97
1395,22.25,27.21
1399,17.4,17.85
1400,47.96,22.99
1401,21.86,33.18
1402,24.0,35.72
1406,21.91,33.69
1407,3.61,36.86
1408,4.36,9.72
1409,16.7,22.05
1410,7.1,17.06
1411,19.92,37.72
1412,24.0,36.39
1413,26.35,17.65
1414,20.38,36.26
1415,9.11,14.89
1416,24.0,37.43
1417,21.01,23.66
1418,19.61,20.62
1419,22.24,19.08
1420,19.01,24.05
1421,7.24,33.23
1422,21.58,37.73
1423,22.81,32.56
1424,21.11,27.47
1425,21.61,22.99
1429,17.37,26.24
1430,18.02,21.73
1431,5.3,34.21
1432,30.01,35.05
1433,18.51,25.91
1434,7.83,8.81
1435,9.13,12.05
1436,5.06,8.05
1437,2.94,15.92
1438,23.34,30.35
1439,2.03,5.37
1440,7.61,18.57
1441,21.93,9.1
1442,3.96,30.2
1446,34.46,3.3
1447,21.93,38.59
1448,38.17,30.2
1449,17.43,26.55
1450,17.23,8.48
1451,21.98,33.21
1452,11.67,27.67
1453,10.35,34.89
1454,7.3,31.31
1455,10.28,16.21
1456,20.91,36.33
1457,7.5,24.26
1458,14.63,29.15
1459,6.48,5.52
1460,38.18,33.22
1461,17.76,25.66
1462,12.0,27.75
1463,19.87,25.13
1464,22.47,22.85
1465,13.29,27.91
1466,4.8,6.86
1467,17.81,27.0
1468,22.59,17.37
1469,8.94,14.88
1470,13.31,37.22
1471,11.88,9.16
1472,22.34,24.54
1473,4.69,26.05
1474,10.96,14.76
1475,24.9,7.81
1476,25.14,10.62
1477,9.57,12.04
1478,24.25,4.4
1479,11.72,18.44
1480,4.05,29.81
1481,9.57,13.33
1482,16.29,30.95
1483,16.93,26.09
1484,24.0,28.32
1485,7.82,10.5
1486,9.04,35.74
1487,20.47,24.38
1488,24.66,1.68
1489,22.36,25.11
1490,4.03,12.75
1493,14.25,33.69
1494,11.7,31.52
1495,24.0,32.74
1496,10.27,25.83
1497,0.79,32.8
1498,17.8,24.38
1499,10.08,32.41
1500,9.97,6.6
1501,33.68,7.14
1502,3.66,26.8
1503,42.98,11.21
1504,2.41,7.43
1505,19.19,37.66
1506,24.0,27.79
1507,26.49,23.97
1508,13.83,23.62
1509,8.53,37.73
1510,7.35,12.93
1511,24.0,27.33
1512,38.52,31.48
1513,2.96,8.65
1514,17.91,25.62
1515,45.61,13.0
1516,21.19,16.76
1517,18.98,14.37
1518,18.02,23.3
1519,9.4,34.45
1520,2.06,13.32
1521,16.81,28.02
1522,21.59,38.16
1523,19.8,36.74
1524,41.32,5.36
1525,21.15,25.75
1526,16.43,33.68
1527,19.73,38.41
1528,26.06,25.07
1529,18.08,18.06
1530,43.43,27.44
1531,12.3,9.33
1532,24.46,3.43
1533,8.22,14.57
1534,22.57,23.92
1535,12.98,17.67
1536,13.6,30.22
1537,24.01,20.69
1538,10.57,19.42
1539,35.85,26.32
1540,20.9,32.91
1541,17.05,36.51
1542,16.0,28.65
1543,22.22,25.56
1544,10.5,12.49
1545,18.76,31.48
1546,9.58,14.23
1547,39.62,37.77
1548,2.89,0.31
1549,3.53,33.87
1550,7.36,14.77
1551,11.49,2.84
1552,5.53,27.86
1553,1.93,12.05
1554,13.33,29.91
1555,30.6,26.81
1556,17.96,27.25
1557,14.87,28.02
1558,2.94,36.33
1562,11.36,25.62
1563,24.0,24.98
1564,24.0,26.57
1567,24.0,27.68
1568,24.0,33.76
